ticker,name,aliases
FANG,DIAMONDBACK ENERGY INC,DIAMONDBACK ENERGY|DIAMONDBACK ENERGY INC|Diamondback Energy|Diamondback Energy Inc|FANG
PCG,P G & E CORP,P G & E|P G & E CORP|P G & E Corp|PCG
ABBV,ABBVIE INC,ABBV|ABBVIE|ABBVIE INC|Abbvie|Abbvie Inc
NCLH,NORWEGIAN CRUISE LINE HLDGS LTD,NCLH|NORWEGIAN CRUISE LINE HLDGS LTD|Norwegian Cruise Line Hldgs Ltd
ZTS,ZOETIS INC,ZOETIS|ZOETIS INC|ZTS|Zoetis|Zoetis Inc
PEP,PEPSICO INC,PEP|PEPSICO|PEPSICO INC|Pepsico|Pepsico Inc
MO,ALTRIA GROUP INC,ALTRIA GROUP|ALTRIA GROUP INC|Altria Group|Altria Group Inc|MO
IQV,IQVIA HOLDINGS INC,IQV|IQVIA HOLDINGS|IQVIA HOLDINGS INC|Iqvia Holdings|Iqvia Holdings Inc
COP,CONOCOPHILLIPS,CONOCOPHILLIPS|COP|Conocophillips
CDW,C D W CORP NEW,C D W CORP NEW|C D W Corp New|CDW
NWSA,NEWS CORP NEW,NEWS CORP NEW|NWSA|News Corp New
NWS,NEWS CORP NEW,NEWS CORP NEW|NWS|News Corp New
AMGN,AMGEN INC,AMGEN|AMGEN INC|AMGN|Amgen|Amgen Inc
SLB,SCHLUMBERGER LTD,SCHLUMBERGER LTD|SLB|Schlumberger Ltd
ALLE,ALLEGION PLC,ALLE|ALLEGION PLC|Allegion Plc
HLT,HILTON WORLDWIDE HOLDINGS INC,HILTON WORLDWIDE HOLDINGS|HILTON WORLDWIDE HOLDINGS INC|HLT|Hilton Worldwide Holdings|Hilton Worldwide Holdings Inc
CVX,CHEVRON CORP NEW,CHEVRON CORP NEW|CVX|Chevron Corp New
GOOG,ALPHABET INC,ALPHABET|ALPHABET INC|Alphabet|Alphabet Inc|GOOG
PAYC,PAYCOM SOFTWARE INC,PAYC|PAYCOM SOFTWARE|PAYCOM SOFTWARE INC|Paycom Software|Paycom Software Inc
AAPL,APPLE INC,AAPL|APPLE|APPLE INC|Apple|Apple Inc
AMAT,APPLIED MATERIALS INC,AMAT|APPLIED MATERIALS|APPLIED MATERIALS INC|Applied Materials|Applied Materials Inc
ANET,ARISTA NETWORKS INC,ANET|ARISTA NETWORKS|ARISTA NETWORKS INC|Arista Networks|Arista Networks Inc
CTLT,CATALENT INC,CATALENT|CATALENT INC|CTLT|Catalent|Catalent Inc
SYF,SYNCHRONY FINANCIAL,SYF|SYNCHRONY FINANCIAL|Synchrony Financial
CZR,CAESARS ENTERTAINMENT INC DE,CAESARS ENTERTAINMENT INC DE|CZR|Caesars Entertainment Inc De
CFG,CITIZENS FINANCIAL GROUP INC,CFG|CITIZENS FINANCIAL GROUP|CITIZENS FINANCIAL GROUP INC|Citizens Financial Group|Citizens Financial Group Inc
KEYS,KEYSIGHT TECHNOLOGIES INC,KEYS|KEYSIGHT TECHNOLOGIES|KEYSIGHT TECHNOLOGIES INC|Keysight Technologies|Keysight Technologies Inc
MRO,MARATHON OIL CORP,MARATHON OIL|MARATHON OIL CORP|MRO|Marathon Oil|Marathon Oil Corp
VMC,VULCAN MATERIALS CO,VMC|VULCAN MATERIALS|VULCAN MATERIALS CO|Vulcan Materials|Vulcan Materials Co
SEDG,SOLAREDGE TECHNOLOGIES INC,SEDG|SOLAREDGE TECHNOLOGIES|SOLAREDGE TECHNOLOGIES INC|Solaredge Technologies|Solaredge Technologies Inc
ETSY,ETSY INC,ETSY|ETSY INC|Etsy|Etsy Inc
KHC,KRAFT HEINZ CO,KHC|KRAFT HEINZ|KRAFT HEINZ CO|Kraft Heinz|Kraft Heinz Co
PYPL,PAYPAL HOLDINGS INC,PAYPAL HOLDINGS|PAYPAL HOLDINGS INC|PYPL|Paypal Holdings|Paypal Holdings Inc
TXN,TEXAS INSTRUMENTS INC,TEXAS INSTRUMENTS|TEXAS INSTRUMENTS INC|TXN|Texas Instruments|Texas Instruments Inc
HPE,HEWLETT PACKARD ENTERPRISE CO,HEWLETT PACKARD ENTERPRISE|HEWLETT PACKARD ENTERPRISE CO|HPE|Hewlett Packard Enterprise|Hewlett Packard Enterprise Co
EIX,EDISON INTERNATIONAL,EDISON INTERNATIONAL|EIX|Edison International
MTCH,MATCH GROUP INC NEW,MATCH GROUP INC NEW|MTCH|Match Group Inc New
FTV,FORTIVE CORP,FORTIVE|FORTIVE CORP|FTV|Fortive|Fortive Corp
LW,LAMB WESTON HOLDINGS INC,LAMB WESTON HOLDINGS|LAMB WESTON HOLDINGS INC|LW|Lamb Weston Holdings|Lamb Weston Holdings Inc
INVH,INVITATION HOMES INC,INVH|INVITATION HOMES|INVITATION HOMES INC|Invitation Homes|Invitation Homes Inc
HSY,HERSHEY CO,HERSHEY|HERSHEY CO|HSY|Hershey|Hershey Co
KR,KROGER CO,KR|KROGER|KROGER CO|Kroger|Kroger Co
IR,INGERSOLL RAND INC,INGERSOLL RAND|INGERSOLL RAND INC|IR|Ingersoll Rand|Ingersoll Rand Inc
DD,DUPONT DE NEMOURS INC,DD|DUPONT DE NEMOURS|DUPONT DE NEMOURS INC|Dupont De Nemours|Dupont De Nemours Inc
CVS,C V S HEALTH CORP,C V S HEALTH|C V S HEALTH CORP|C V S Health|C V S Health Corp|CVS
GIS,GENERAL MILLS INC,GENERAL MILLS|GENERAL MILLS INC|GIS|General Mills|General Mills Inc
VICI,VICI PROPERTIES INC,VICI|VICI PROPERTIES|VICI PROPERTIES INC|Vici Properties|Vici Properties Inc
SPGI,S & P GLOBAL INC,S & P GLOBAL|S & P GLOBAL INC|S & P Global|S & P Global Inc|SPGI
CDAY,CERIDIAN H C M HOLDING INC,CDAY|CERIDIAN H C M HOLDING|CERIDIAN H C M HOLDING INC|Ceridian H C M Holding|Ceridian H C M Holding Inc
WRB,BERKLEY W R CORP,BERKLEY W R|BERKLEY W R CORP|Berkley W R|Berkley W R Corp|WRB
KMB,KIMBERLY CLARK CORP,KIMBERLY CLARK|KIMBERLY CLARK CORP|KMB|Kimberly Clark|Kimberly Clark Corp
RTX,RAYTHEON TECHNOLOGIES CORP,RAYTHEON TECHNOLOGIES|RAYTHEON TECHNOLOGIES CORP|RTX|Raytheon Technologies|Raytheon Technologies Corp
KDP,KEURIG DR PEPPER INC,KDP|KEURIG DR PEPPER|KEURIG DR PEPPER INC|Keurig Dr Pepper|Keurig Dr Pepper Inc
LIN,LINDE PLC,LIN|LINDE PLC|Linde Plc
PG,PROCTER & GAMBLE CO,PG|PROCTER & GAMBLE|PROCTER & GAMBLE CO|Procter & Gamble|Procter & Gamble Co
MRNA,MODERNA INC,MODERNA|MODERNA INC|MRNA|Moderna|Moderna Inc
SO,SOUTHERN CO,SO|SOUTHERN|SOUTHERN CO|Southern|Southern Co
FOXA,FOX CORP,FOX|FOX CORP|FOXA|Fox|Fox Corp
FOX,FOX CORP,FOX|FOX CORP|Fox|Fox Corp
DOW,DOW INC,DOW|DOW INC|Dow|Dow Inc
CAT,CATERPILLAR INC,CAT|CATERPILLAR|CATERPILLAR INC|Caterpillar|Caterpillar Inc
CTVA,CORTEVA INC,CORTEVA|CORTEVA INC|CTVA|Corteva|Corteva Inc
AMCR,AMCOR PLC,AMCOR PLC|AMCR|Amcor Plc
CL,COLGATE PALMOLIVE CO,CL|COLGATE PALMOLIVE|COLGATE PALMOLIVE CO|Colgate Palmolive|Colgate Palmolive Co
FMC,F M C CORP,F M C|F M C CORP|F M C Corp|FMC
CARR,CARRIER GLOBAL CORP,CARR|CARRIER GLOBAL|CARRIER GLOBAL CORP|Carrier Global|Carrier Global Corp
OTIS,OTIS WORLDWIDE CORP,OTIS|OTIS WORLDWIDE|OTIS WORLDWIDE CORP|Otis Worldwide|Otis Worldwide Corp
DE,DEERE & CO,DE|DEERE &|DEERE & CO|Deere &|Deere & Co
BMY,BRISTOL MYERS SQUIBB CO,BMY|BRISTOL MYERS SQUIBB|BRISTOL MYERS SQUIBB CO|Bristol Myers Squibb|Bristol Myers Squibb Co
WBA,WALGREENS BOOTS ALLIANCE INC,WALGREENS BOOTS ALLIANCE|WALGREENS BOOTS ALLIANCE INC|WBA|Walgreens Boots Alliance|Walgreens Boots Alliance Inc
BA,BOEING CO,BA|BOEING|BOEING CO|Boeing|Boeing Co
IVZ,INVESCO LTD,INVESCO LTD|IVZ|Invesco Ltd
VTRS,VIATRIS INC,VIATRIS|VIATRIS INC|VTRS|Viatris|Viatris Inc
ABT,ABBOTT LABORATORIES,ABBOTT LABORATORIES|ABT|Abbott Laboratories
AAL,AMERICAN AIRLINES GROUP INC,AAL|AMERICAN AIRLINES GROUP|AMERICAN AIRLINES GROUP INC|American Airlines Group|American Airlines Group Inc
OGN,ORGANON & CO,OGN|ORGANON &|ORGANON & CO|Organon &|Organon & Co
LMT,LOCKHEED MARTIN CORP,LMT|LOCKHEED MARTIN|LOCKHEED MARTIN CORP|Lockheed Martin|Lockheed Martin Corp
WRK,WESTROCK CO,WESTROCK|WESTROCK CO|WRK|Westrock|Westrock Co
NEM,NEWMONT CORP,NEM|NEWMONT|NEWMONT CORP|Newmont|Newmont Corp
CAH,CARDINAL HEALTH INC,CAH|CARDINAL HEALTH|CARDINAL HEALTH INC|Cardinal Health|Cardinal Health Inc
IP,INTERNATIONAL PAPER CO,INTERNATIONAL PAPER|INTERNATIONAL PAPER CO|IP|International Paper|International Paper Co
EXC,EXELON CORP,EXC|EXELON|EXELON CORP|Exelon|Exelon Corp
CNP,CENTERPOINT ENERGY INC,CENTERPOINT ENERGY|CENTERPOINT ENERGY INC|CNP|Centerpoint Energy|Centerpoint Energy Inc
PFE,PFIZER INC,PFE|PFIZER|PFIZER INC|Pfizer|Pfizer Inc
EMR,EMERSON ELECTRIC CO,EMERSON ELECTRIC|EMERSON ELECTRIC CO|EMR|Emerson Electric|Emerson Electric Co
JNJ,JOHNSON & JOHNSON,JNJ|JOHNSON & JOHNSON|Johnson & Johnson
GLW,CORNING INC,CORNING|CORNING INC|Corning|Corning Inc|GLW
PPG,P P G INDUSTRIES INC,P P G INDUSTRIES|P P G INDUSTRIES INC|P P G Industries|P P G Industries Inc|PPG
PPL,P P L CORP,P P L|P P L CORP|P P L Corp|PPL
MMM,3M CO,3M|3M CO|3M Co|MMM
CEG,CONSTELLATION ENERGY CORP,CEG|CONSTELLATION ENERGY|CONSTELLATION ENERGY CORP|Constellation Energy|Constellation Energy Corp
MRK,MERCK & CO INC NEW,MERCK & CO INC NEW|MRK|Merck & Co Inc New
MSI,MOTOROLA SOLUTIONS INC,MOTOROLA SOLUTIONS|MOTOROLA SOLUTIONS INC|MSI|Motorola Solutions|Motorola Solutions Inc
WBD,WARNER BROS DISCOVERY INC,WARNER BROS DISCOVERY|WARNER BROS DISCOVERY INC|WBD|Warner Bros Discovery|Warner Bros Discovery Inc
FE,FIRSTENERGY CORP,FE|FIRSTENERGY|FIRSTENERGY CORP|Firstenergy|Firstenergy Corp
CMS,C M S ENERGY CORP,C M S ENERGY|C M S ENERGY CORP|C M S Energy|C M S Energy Corp|CMS
CHD,CHURCH & DWIGHT INC,CHD|CHURCH & DWIGHT|CHURCH & DWIGHT INC|Church & Dwight|Church & Dwight Inc
CINF,CINCINNATI FINANCIAL CORP,CINCINNATI FINANCIAL|CINCINNATI FINANCIAL CORP|CINF|Cincinnati Financial|Cincinnati Financial Corp
WEC,W E C ENERGY GROUP INC,W E C ENERGY GROUP|W E C ENERGY GROUP INC|W E C Energy Group|W E C Energy Group Inc|WEC
TXT,TEXTRON INC,TEXTRON|TEXTRON INC|TXT|Textron|Textron Inc
CTAS,CINTAS CORP,CINTAS|CINTAS CORP|CTAS|Cintas|Cintas Corp
PEG,PUBLIC SERVICE ENTERPRISE GP INC,PEG|PUBLIC SERVICE ENTERPRISE GP|PUBLIC SERVICE ENTERPRISE GP INC|Public Service Enterprise Gp|Public Service Enterprise Gp Inc
HAL,HALLIBURTON CO,HAL|HALLIBURTON|HALLIBURTON CO|Halliburton|Halliburton Co
XEL,X C E L ENERGY INC,X C E L ENERGY|X C E L ENERGY INC|X C E L Energy|X C E L Energy Inc|XEL
ETR,ENTERGY CORP NEW,ENTERGY CORP NEW|ETR|Entergy Corp New
EVRG,EVERGY INC,EVERGY|EVERGY INC|EVRG|Evergy|Evergy Inc
AEP,AMERICAN ELECTRIC POWER CO INC,AEP|AMERICAN ELECTRIC POWER CO|AMERICAN ELECTRIC POWER CO INC|American Electric Power Co|American Electric Power Co Inc
NEE,NEXTERA ENERGY INC,NEE|NEXTERA ENERGY|NEXTERA ENERGY INC|Nextera Energy|Nextera Energy Inc
EQT,E Q T CORP,E Q T|E Q T CORP|E Q T Corp|EQT
HWM,HOWMET AEROSPACE INC,HOWMET AEROSPACE|HOWMET AEROSPACE INC|HWM|Howmet Aerospace|Howmet Aerospace Inc
NOC,NORTHROP GRUMMAN CORP,NOC|NORTHROP GRUMMAN|NORTHROP GRUMMAN CORP|Northrop Grumman|Northrop Grumman Corp
AEE,AMEREN CORP,AEE|AMEREN|AMEREN CORP|Ameren|Ameren Corp
CMA,COMERICA INC,CMA|COMERICA|COMERICA INC|Comerica|Comerica Inc
OKE,ONEOK INC NEW,OKE|ONEOK INC NEW|Oneok Inc New
CPB,CAMPBELL SOUP CO,CAMPBELL SOUP|CAMPBELL SOUP CO|CPB|Campbell Soup|Campbell Soup Co
WHR,WHIRLPOOL CORP,WHIRLPOOL|WHIRLPOOL CORP|WHR|Whirlpool|Whirlpool Corp
LHX,L3HARRIS TECHNOLOGIES INC,L3HARRIS TECHNOLOGIES|L3HARRIS TECHNOLOGIES INC|L3Harris Technologies|L3Harris Technologies Inc|LHX
F,FORD MOTOR CO DEL,F|FORD MOTOR CO DEL|Ford Motor Co Del
DOV,DOVER CORP,DOV|DOVER|DOVER CORP|Dover|Dover Corp
DIS,DISNEY WALT CO,DIS|DISNEY WALT|DISNEY WALT CO|Disney Walt|Disney Walt Co
L,LOEWS CORP,L|LOEWS|LOEWS CORP|Loews|Loews Corp
K,KELLOGG CO,K|KELLOGG|KELLOGG CO|Kellogg|Kellogg Co
HPQ,H P INC,H P|H P INC|H P Inc|HPQ
BAX,BAXTER INTERNATIONAL INC,BAX|BAXTER INTERNATIONAL|BAXTER INTERNATIONAL INC|Baxter International|Baxter International Inc
DUK,DUKE ENERGY CORP NEW,DUK|DUKE ENERGY CORP NEW|Duke Energy Corp New
PNW,PINNACLE WEST CAPITAL CORP,PINNACLE WEST CAPITAL|PINNACLE WEST CAPITAL CORP|PNW|Pinnacle West Capital|Pinnacle West Capital Corp
APD,AIR PRODUCTS & CHEMICALS INC,AIR PRODUCTS & CHEMICALS|AIR PRODUCTS & CHEMICALS INC|APD|Air Products & Chemicals|Air Products & Chemicals Inc
VNO,VORNADO REALTY TRUST,VNO|VORNADO REALTY TRUST|Vornado Realty Trust
HES,HESS CORP,HES|HESS|HESS CORP|Hess|Hess Corp
ALK,ALASKA AIRGROUP INC,ALASKA AIRGROUP|ALASKA AIRGROUP INC|ALK|Alaska Airgroup|Alaska Airgroup Inc
BF,BROWN FORMAN CORP,BF|BROWN FORMAN|BROWN FORMAN CORP|Brown Forman|Brown Forman Corp
OMC,OMNICOM GROUP INC,OMC|OMNICOM GROUP|OMNICOM GROUP INC|Omnicom Group|Omnicom Group Inc
HRL,HORMEL FOODS CORP,HORMEL FOODS|HORMEL FOODS CORP|HRL|Hormel Foods|Hormel Foods Corp
ATO,ATMOS ENERGY CORP,ATMOS ENERGY|ATMOS ENERGY CORP|ATO|Atmos Energy|Atmos Energy Corp
MAS,MASCO CORP,MAS|MASCO|MASCO CORP|Masco|Masco Corp
FITB,FIFTH THIRD BANCORP,FIFTH THIRD BANCORP|FITB|Fifth Third Bancorp
NUE,NUCOR CORP,NUCOR|NUCOR CORP|NUE|Nucor|Nucor Corp
OXY,OCCIDENTAL PETROLEUM CORP,OCCIDENTAL PETROLEUM|OCCIDENTAL PETROLEUM CORP|OXY|Occidental Petroleum|Occidental Petroleum Corp
RF,REGIONS FINANCIAL CORP NEW,REGIONS FINANCIAL CORP NEW|RF|Regions Financial Corp New
MTB,M & T BANK CORP,M & T BANK|M & T BANK CORP|M & T Bank|M & T Bank Corp|MTB
ROL,ROLLINS INC,ROL|ROLLINS|ROLLINS INC|Rollins|Rollins Inc
SHW,SHERWIN WILLIAMS CO,SHERWIN WILLIAMS|SHERWIN WILLIAMS CO|SHW|Sherwin Williams|Sherwin Williams Co
BEN,FRANKLIN RESOURCES INC,BEN|FRANKLIN RESOURCES|FRANKLIN RESOURCES INC|Franklin Resources|Franklin Resources Inc
AJG,GALLAGHER ARTHUR J & CO,AJG|GALLAGHER ARTHUR J &|GALLAGHER ARTHUR J & CO|Gallagher Arthur J &|Gallagher Arthur J & Co
WMB,WILLIAMS COS,WILLIAMS COS|WMB|Williams Cos
WFC,WELLS FARGO & CO NEW,WELLS FARGO & CO NEW|WFC|Wells Fargo & Co New
NI,NISOURCE INC,NI|NISOURCE|NISOURCE INC|Nisource|Nisource Inc
APA,A P A CORP,A P A|A P A CORP|A P A Corp|APA
BDX,BECTON DICKINSON & CO,BDX|BECTON DICKINSON &|BECTON DICKINSON & CO|Becton Dickinson &|Becton Dickinson & Co
WY,WEYERHAEUSER CO,WEYERHAEUSER|WEYERHAEUSER CO|WY|Weyerhaeuser|Weyerhaeuser Co
DXC,D X C TECHNOLOGY CO,D X C TECHNOLOGY|D X C TECHNOLOGY CO|D X C Technology|D X C Technology Co|DXC
IFF,INTERNATIONAL FLAVORS & FRAG INC,IFF|INTERNATIONAL FLAVORS & FRAG|INTERNATIONAL FLAVORS & FRAG INC|International Flavors & Frag|International Flavors & Frag Inc
TJX,T J X COMPANIES INC NEW,T J X COMPANIES INC NEW|T J X Companies Inc New|TJX
CMI,CUMMINS INC,CMI|CUMMINS|CUMMINS INC|Cummins|Cummins Inc
PH,PARKER HANNIFIN CORP,PARKER HANNIFIN|PARKER HANNIFIN CORP|PH|Parker Hannifin|Parker Hannifin Corp
PKI,PERKINELMER INC,PERKINELMER|PERKINELMER INC|PKI|Perkinelmer|Perkinelmer Inc
SJM,SMUCKER J M CO,SJM|SMUCKER J M|SMUCKER J M CO|Smucker J M|Smucker J M Co
JBHT,HUNT J B TRANSPORT SERVICES INC,HUNT J B TRANSPORT SERVICES|HUNT J B TRANSPORT SERVICES INC|Hunt J B Transport Services|Hunt J B Transport Services Inc|JBHT
HBAN,HUNTINGTON BANCSHARES INC,HBAN|HUNTINGTON BANCSHARES|HUNTINGTON BANCSHARES INC|Huntington Bancshares|Huntington Bancshares Inc
SWK,STANLEY BLACK & DECKER INC,STANLEY BLACK & DECKER|STANLEY BLACK & DECKER INC|SWK|Stanley Black & Decker|Stanley Black & Decker Inc
MCD,MCDONALDS CORP,MCD|MCDONALDS|MCDONALDS CORP|Mcdonalds|Mcdonalds Corp
VFC,V F CORP,V F|V F CORP|V F Corp|VFC
ES,EVERSOURCE ENERGY,ES|EVERSOURCE ENERGY|Eversource Energy
TFX,TELEFLEX INC,TELEFLEX|TELEFLEX INC|TFX|Teleflex|Teleflex Inc
AVY,AVERY DENNISON CORP,AVERY DENNISON|AVERY DENNISON CORP|AVY|Avery Dennison|Avery Dennison Corp
ADP,AUTOMATIC DATA PROCESSING INC,ADP|AUTOMATIC DATA PROCESSING|AUTOMATIC DATA PROCESSING INC|Automatic Data Processing|Automatic Data Processing Inc
JCI,JOHNSON CONTROLS INTL PLC,JCI|JOHNSON CONTROLS INTL PLC|Johnson Controls Intl Plc
MMC,MARSH & MCLENNAN COS INC,MARSH & MCLENNAN COS|MARSH & MCLENNAN COS INC|MMC|Marsh & Mclennan Cos|Marsh & Mclennan Cos Inc
SWKS,SKYWORKS SOLUTIONS INC,SKYWORKS SOLUTIONS|SKYWORKS SOLUTIONS INC|SWKS|Skyworks Solutions|Skyworks Solutions Inc
CLX,CLOROX CO,CLOROX|CLOROX CO|CLX|Clorox|Clorox Co
GPC,GENUINE PARTS CO,GENUINE PARTS|GENUINE PARTS CO|GPC|Genuine Parts|Genuine Parts Co
HST,HOST HOTELS & RESORTS INC,HOST HOTELS & RESORTS|HOST HOTELS & RESORTS INC|HST|Host Hotels & Resorts|Host Hotels & Resorts Inc
KLAC,K L A CORP,K L A|K L A CORP|K L A Corp|KLAC
JPM,JPMORGAN CHASE & CO,JPM|JPMORGAN CHASE &|JPMORGAN CHASE & CO|Jpmorgan Chase &|Jpmorgan Chase & Co
LRCX,LAM RESH CORP,LAM RESH|LAM RESH CORP|LRCX|Lam Resh|Lam Resh Corp
MCO,MOODYS CORP,MCO|MOODYS|MOODYS CORP|Moodys|Moodys Corp
HUM,HUMANA INC,HUM|HUMANA|HUMANA INC|Humana|Humana Inc
UNP,UNION PACIFIC CORP,UNION PACIFIC|UNION PACIFIC CORP|UNP|Union Pacific|Union Pacific Corp
LNC,LINCOLN NATIONAL CORP,LINCOLN NATIONAL|LINCOLN NATIONAL CORP|LNC|Lincoln National|Lincoln National Corp
TGT,TARGET CORP,TARGET|TARGET CORP|TGT|Target|Target Corp
BK,BANK OF NEW YORK MELLON CORP,BANK OF NEW YORK MELLON|BANK OF NEW YORK MELLON CORP|BK|Bank Of New York Mellon|Bank Of New York Mellon Corp
DHR,DANAHER CORP,DANAHER|DANAHER CORP|DHR|Danaher|Danaher Corp
LLY,LILLY ELI & CO,LILLY ELI &|LILLY ELI & CO|LLY|Lilly Eli &|Lilly Eli & Co
TER,TERADYNE INC,TER|TERADYNE|TERADYNE INC|Teradyne|Teradyne Inc
SYY,SYSCO CORP,SYSCO|SYSCO CORP|SYY|Sysco|Sysco Corp
MKC,MCCORMICK & CO INC,MCCORMICK & CO|MCCORMICK & CO INC|MKC|Mccormick & Co|Mccormick & Co Inc
RHI,ROBERT HALF INTERNATIONAL INC,RHI|ROBERT HALF INTERNATIONAL|ROBERT HALF INTERNATIONAL INC|Robert Half International|Robert Half International Inc
J,JACOBS SOLUTIONS INC,J|JACOBS SOLUTIONS|JACOBS SOLUTIONS INC|Jacobs Solutions|Jacobs Solutions Inc
EFX,EQUIFAX INC,EFX|EQUIFAX|EQUIFAX INC|Equifax|Equifax Inc
GWW,GRAINGER W W INC,GRAINGER W W|GRAINGER W W INC|GWW|Grainger W W|Grainger W W Inc
LEN,LENNAR CORP,LEN|LENNAR|LENNAR CORP|Lennar|Lennar Corp
HAS,HASBRO INC,HAS|HASBRO|HASBRO INC|Hasbro|Hasbro Inc
IPG,INTERPUBLIC GROUP COS INC,INTERPUBLIC GROUP COS|INTERPUBLIC GROUP COS INC|IPG|Interpublic Group Cos|Interpublic Group Cos Inc
MU,MICRON TECHNOLOGY INC,MICRON TECHNOLOGY|MICRON TECHNOLOGY INC|MU|Micron Technology|Micron Technology Inc
